,train_loss,val_loss,ji,val_ji,acc,prec,f1,recall,val_acc,val_prec,val_f1,val_recall
0,0.2612217457457022,0.09663814057906468,0.48680532520467584,0.495237298309803,0.9687975612553683,0.007892918053337118,0.00943605254764076,0.03905476440612057,0.990474596619606,0.0,0.0,0.0
1,0.06209806840528141,0.046730795254309974,0.495459520816803,0.49579542875289917,0.9907266790216619,0.10292011065916581,0.0003833383390552957,0.00019256050343921578,0.9904873122771581,0.8006944408019384,0.002203479780291673,0.0011037511637065716
2,0.03739143525334922,0.037037912445763745,0.5201871828599409,0.5306015213330587,0.9910895986990496,0.7382734986868772,0.09087711432313716,0.05030516841295387,0.9910619010527929,0.861217220624288,0.12998982394735017,0.07113854866474867
3,0.028620433163913814,0.027463503337154787,0.5775721674615687,0.584334154923757,0.9919417858123779,0.7787854032082991,0.27281109806605275,0.17156890736659988,0.991995652516683,0.8475654820601145,0.29938896372914314,0.18284191812078157
4,0.023974372751333496,0.02699375633771221,0.6103071093559265,0.6519618680079778,0.9924316189505837,0.8085103403438222,0.3654009285975586,0.2431088735434142,0.9927546183268229,0.7382914622624716,0.4733883390824,0.3487338721752167
5,0.02184156057509509,0.022089293071379263,0.6191584998911077,0.6036689082781473,0.9925820784135299,0.8101189743388783,0.3912875785069032,0.2617773135277358,0.9923066546519598,0.8583270063002905,0.35283811390399933,0.22316032151381174
6,0.02032598736272617,0.01902600416603188,0.6384998635812239,0.6297529141108195,0.9928875283761458,0.8102723360061646,0.43604890412905,0.3077009741894223,0.9926454772551855,0.8199290583531061,0.4201839913924535,0.2835118683675925
7,0.018981065465645357,0.019914847643425066,0.6455655748193915,0.5857562124729156,0.9929887533187867,0.8070464762774381,0.45443112470886926,0.32393411574038594,0.9920042355855306,0.8332566519578298,0.30238254616657895,0.18631762824952602
8,0.017711760611696676,0.017579134088009596,0.6586974003098228,0.642422636349996,0.9932306874882091,0.8160415118390864,0.48683106032284823,0.3517229524525729,0.9929483731587728,0.8402396639188131,0.4495597754915555,0.30926410978039104
9,0.016873134435577825,0.016394196388622124,0.6637160713022405,0.6704918642838796,0.9933416474949229,0.8203210960734975,0.4976954140446403,0.36215324645692654,0.9934261639912924,0.8411239335934321,0.5153500909606615,0.3719938099384308
10,0.01611574864522977,0.0162121356309702,0.6713022221218455,0.6461000939210256,0.9934769240292636,0.8222991141405973,0.515217000246048,0.37830186892639506,0.9930148671070734,0.8538502107063929,0.45896469553311664,0.31521040697892505
11,0.015614038316363639,0.015597271965816617,0.6802902308377352,0.6840769797563553,0.9936145403168418,0.822953013940291,0.5346724623983556,0.399074575304985,0.9936203410228094,0.8354748537143072,0.5438132186730703,0.40478507926066715
12,0.015141783586957239,0.015234065552552542,0.6836757172237743,0.6829411039749781,0.9936927416107871,0.823930730602958,0.5420865232294256,0.4070754983208396,0.9936268081267675,0.83505945901076,0.5412639925877253,0.4021887183189392
13,0.014549534446136518,0.014714425817752877,0.6895032806829973,0.6956338485081991,0.9938151998953386,0.8295514691959728,0.5543451997366818,0.4188462447036396,0.9939045359690984,0.8463205297787985,0.5681092192729315,0.4283694848418236
14,0.014090992882847786,0.014436878031119704,0.7002707741477273,0.7234196265538534,0.9939932357181203,0.8302413777871566,0.5770486506548795,0.44413496255874635,0.9943593889474869,0.841701497634252,0.6218909124533335,0.49515411754449207
15,0.014150044389746406,0.01581970431531469,0.702447666905143,0.7119321078062057,0.9939978675408797,0.8287038109519265,0.5805695837194269,0.4505733479153026,0.9941286494334539,0.8293417990207672,0.6004542162021002,0.4720349808533986
16,0.014636804620650682,0.01459955369743208,0.6953525185585022,0.7128851811091105,0.993886475129561,0.8164528109810569,0.5659777343273162,0.43605284745042977,0.9941844393809637,0.8410567293564478,0.6016719664136568,0.47027135143677395
17,0.01388395137407563,0.013828344643115997,0.7064712686972184,0.7142206182082494,0.9941083485429937,0.8270063898780129,0.5893569973382082,0.4599694403735074,0.9942314376433691,0.8475221345822016,0.6052248875300089,0.47152922799189884
18,0.013380357826297934,0.014220681817581257,0.7158943815664811,0.6931943545738856,0.994275939464569,0.8306499936363914,0.6076090129938992,0.4818000934340737,0.9938804854949316,0.8656045844157537,0.5629779398441315,0.41820542762676877
19,0.013244726610454645,0.014104274567216635,0.7192143418572166,0.7478144615888596,0.9943374666300687,0.8305196371945468,0.61327026757327,0.48935177651318634,0.9947616259256998,0.8265331635872523,0.6668134133021036,0.5595170309146246
20,0.013083258880810304,0.013582444516941905,0.7251140648668463,0.7208285182714462,0.9944398988376965,0.8281204071911898,0.6241982525045221,0.50482095209035,0.9943433354298273,0.8526053428649902,0.6173147857189178,0.4849790061513583
21,0.012858304618434473,0.013363905561467012,0.7272802168672735,0.7392328927914301,0.9945015647194603,0.8324377580122514,0.6283658732067455,0.5081143016164953,0.994624192516009,0.8422619303067526,0.6516911586125692,0.5324738423029581
22,0.012489848329939626,0.013363030195857087,0.736031128059734,0.7205510040124258,0.9946492596106096,0.8331744139844721,0.6449277682737871,0.5291213842955502,0.9943574269612631,0.8560880025227865,0.6170171846946081,0.4834362914164861
23,0.012280548770319331,0.01321597071364522,0.7401765357364308,0.7246978978315989,0.9947190533984791,0.8351027282801542,0.652680678801103,0.5376714885234832,0.9944530576467514,0.8563734690348307,0.6246739278237025,0.4924323956171672
24,0.01208060954443433,0.013035880867391825,0.7453171383250844,0.7306721210479736,0.9948226137594743,0.8368173306638544,0.6621491681445729,0.5491268846121702,0.9945558955272039,0.8593690047661463,0.6357549627621969,0.5058331688245138
25,0.011931855908849022,0.01283635509510835,0.7495780793103305,0.7448470195134481,0.9949093493548307,0.8361877528103915,0.6697967529296875,0.5593739412047646,0.9948152452707291,0.8565524220466614,0.661577582359314,0.5398106550176939
26,0.011881723458116705,0.013346546329557896,0.7542957761070945,0.7258366843064626,0.9949835723096674,0.8343970461325212,0.6778109767220237,0.5723991161042994,0.9945065180460612,0.8654307673374811,0.6268042822678884,0.4920625388622284
27,0.012030865539881317,0.012931675106907884,0.7537648905407298,0.7604139149188995,0.9949531305919994,0.8320898868820884,0.6767591324719515,0.5729400331323797,0.9950040727853775,0.8373691042264303,0.6889360795418421,0.5860466460386912
28,0.012003404714844443,0.01287766289897263,0.7557584079829129,0.7571958104769388,0.9949953881177035,0.8298880934715271,0.6801688866181808,0.5786631069400093,0.9950024286905924,0.8516086637973785,0.6831460346778234,0.571235383550326
29,0.011597426726736805,0.01265428486901025,0.7621716618537903,0.771264856060346,0.995146696134047,0.8362230810252103,0.691216580434279,0.5907306465235623,0.9952921867370605,0.8476403206586838,0.7067984143892924,0.6070501257975897
30,0.011452032998204232,0.01291531960790356,0.767238812013106,0.7702455123265585,0.9952247240326622,0.8360007947141473,0.7001810637387362,0.6033463174646551,0.9951897213856379,0.8359373062849045,0.7050935278336207,0.6106640746196111
31,0.011469958985055035,0.012876345853631696,0.7689692291346464,0.7591380377610525,0.9952455282211303,0.8340515472672202,0.702971706607125,0.6091229785572398,0.9950913339853287,0.852195680141449,0.686192974448204,0.5749394794305166
32,0.01132795847952366,0.012524524237960577,0.7737962733615529,0.7695815513531367,0.9953415859829295,0.8361410010944713,0.7108906724236228,0.6195772658694875,0.9952797889709473,0.8522586077451706,0.7037222733100256,0.600229819615682
33,0.01127501092851162,0.013661951292306185,0.7778630809350447,0.7400282224019369,0.9954199736768549,0.8343775424090298,0.7176115859638561,0.6311476208946921,0.9947583923737208,0.8610279858112335,0.6523083746433258,0.5263996372620264
34,0.01160246931355108,0.012502117548137903,0.7741495132446289,0.7617203444242477,0.9953387585553256,0.8312384312803095,0.7105065920136192,0.6254290168935602,0.9952022234598795,0.8565809975067774,0.6905098110437393,0.5795502215623856
35,0.01120909618383104,0.012651572857672969,0.7771426981145685,0.7732053349415461,0.9954048850319602,0.8349897016178478,0.7163750139149753,0.6286981138316068,0.9952999204397202,0.8525157819191614,0.710174078742663,0.6097352206707001
36,0.011036023743111979,0.012621757729599873,0.7832788965918801,0.7625752141078314,0.9955364194783297,0.8358454931866038,0.7265035163272511,0.6431308757175099,0.9951997846364975,0.8575399965047836,0.691970631480217,0.580872024099032
37,0.011032713915814053,0.012360541615635157,0.785451964898543,0.7772661844889323,0.9955548405647278,0.8348320549184626,0.7298826391046698,0.6497130719098178,0.9953523725271225,0.8484702954689661,0.7170879344145457,0.6216115355491638
38,0.010910269905897704,0.0124895756598562,0.7888399243354798,0.7764595498641332,0.9956187573346225,0.8347187865864146,0.7353597250851718,0.658493651043285,0.9953759511311849,0.8539759367704391,0.7154116332530975,0.6163968791564306
39,0.010846233418719336,0.013219809702908,0.7930077455260537,0.7494723051786423,0.9956949158148332,0.8340425513007425,0.7418304324150086,0.6697775721549988,0.9949813435475031,0.8561705450216929,0.6690919349590937,0.5503872931003571
40,0.010824429438534108,0.012199301195020476,0.792107128013264,0.7909048249324163,0.995691378550096,0.8338002660057762,0.7403805180029436,0.6672002564777028,0.9956096559762955,0.8378825634717941,0.7388934393723806,0.6617994358142217
41,0.010794476470486685,0.012281816530351838,0.7958138455044139,0.790409137805303,0.9957364483313127,0.8334785732355985,0.7462418155236678,0.6769787994298068,0.9956140518188477,0.8410098354021708,0.7378236601750056,0.6581555803616842
42,0.010731641355563294,0.012753884385650357,0.7984519709240306,0.7693438132603964,0.995805841142481,0.8328403895551508,0.7502689892595464,0.6840830770405856,0.9953118413686752,0.8612588544686636,0.7032562593619028,0.5953976958990097
