,train_loss,val_loss,recall,precision,accuracy,f1_score,val_recall,val_precision,val_accuracy,val_f1_score
37,1.562871666228185,1.5601152465457009,0.9866255144032922,0.9866255144032922,0.9975682753460531,0.9866255144032922,0.9875776397515528,0.9875776397515528,0.9977413890457368,0.9875776397515528
38,1.5586913413688785,1.575654563449678,0.9907407407407407,0.9907407407407407,0.9983164983164983,0.9907407407407407,0.9751552795031055,0.9751552795031055,0.9954827780914738,0.9751552795031055
39,1.5542426656504147,1.5736460118066697,0.992798353909465,0.992798353909465,0.9986906098017209,0.992798353909465,0.968944099378882,0.968944099378882,0.9943534726143421,0.968944099378882
40,1.5549117258337677,1.5523736306599207,0.9907407407407407,0.9907407407407407,0.9983164983164983,0.9907407407407407,0.9937888198757764,0.9937888198757764,0.9988706945228685,0.9937888198757764
41,1.5526998902930589,1.5561758506865728,0.9938271604938271,0.9938271604938271,0.9988776655443322,0.9938271604938271,0.9875776397515528,0.9875776397515528,0.9977413890457368,0.9875776397515528
42,1.5585335932794164,1.5669200079781669,0.9897119341563786,0.9897119341563786,0.998129442573887,0.9897119341563786,0.9813664596273292,0.9813664596273292,0.9966120835686053,0.9813664596273292
43,1.5564608925678691,1.5621486334573655,0.9907407407407407,0.9907407407407407,0.9983164983164983,0.9907407407407407,0.9751552795031055,0.9751552795031055,0.9954827780914738,0.9751552795031055
44,1.5552501698009302,1.554632544517517,0.992798353909465,0.992798353909465,0.9986906098017209,0.992798353909465,0.9937888198757764,0.9937888198757764,0.9988706945228685,0.9937888198757764
45,1.557217773843984,1.563503901163737,0.9907407407407407,0.9907407407407407,0.9983164983164983,0.9907407407407407,0.9813664596273292,0.9813664596273292,0.9966120835686053,0.9813664596273292
46,1.5545435401259875,1.5633968852815174,0.9897119341563786,0.9897119341563786,0.998129442573887,0.9897119341563786,0.9813664596273292,0.9813664596273292,0.9966120835686053,0.9813664596273292
47,1.5553169924704755,1.557557259287153,0.9897119341563786,0.9897119341563786,0.998129442573887,0.9897119341563786,0.9875776397515528,0.9875776397515528,0.9977413890457368,0.9875776397515528
48,1.5535989560064722,1.569276667776562,0.9917695473251029,0.9917695473251029,0.9985035540591096,0.9917695473251029,0.9813664596273292,0.9813664596273292,0.9966120835686053,0.9813664596273292
49,1.5518443672383417,1.5569772606804257,0.9938271604938271,0.9938271604938271,0.9988776655443322,0.9938271604938271,0.9875776397515528,0.9875776397515528,0.9977413890457368,0.9875776397515528
50,1.5539029787798397,1.5604835464840843,0.9917695473251029,0.9917695473251029,0.9985035540591096,0.9917695473251029,0.9937888198757764,0.9937888198757764,0.9988706945228685,0.9937888198757764
51,1.550725305666689,1.5583272547948928,0.9948559670781894,0.9948559670781894,0.9990647212869435,0.9948559670781894,0.9875776397515528,0.9875776397515528,0.9977413890457368,0.9875776397515528
52,1.553490072000222,1.5576960472833543,0.992798353909465,0.992798353909465,0.9986906098017209,0.992798353909465,0.9875776397515528,0.9875776397515528,0.9977413890457368,0.9875776397515528
53,1.5544663003233612,1.552983283996582,0.9917695473251029,0.9917695473251029,0.9985035540591096,0.9917695473251029,0.9875776397515528,0.9875776397515528,0.9977413890457368,0.9875776397515528
54,1.5525966384371772,1.55357449395316,0.9938271604938271,0.9938271604938271,0.9988776655443322,0.9938271604938271,0.9937888198757764,0.9937888198757764,0.9988706945228685,0.9937888198757764
55,1.5463323524740875,1.557272649946667,0.9979423868312757,0.9979423868312757,0.9996258885147774,0.9979423868312757,0.9937888198757764,0.9937888198757764,0.9988706945228685,0.9937888198757764
56,1.5497012372876777,1.558811278570266,0.9958847736625515,0.9958847736625515,0.9992517770295548,0.9958847736625515,0.9875776397515528,0.9875776397515528,0.9977413890457368,0.9875776397515528
57,1.5580975501263727,1.6187846547081357,0.9876543209876543,0.9876543209876543,0.9977553310886644,0.9876543209876543,0.9192546583850931,0.9192546583850931,0.9853190287972897,0.9192546583850931
58,1.5541190075092628,1.5639480749766033,0.9938271604938271,0.9938271604938271,0.9988776655443322,0.9938271604938271,0.9813664596273292,0.9813664596273292,0.9966120835686053,0.9813664596273292
59,1.54903273602001,1.5549078044437228,0.9958847736625515,0.9958847736625515,0.9992517770295548,0.9958847736625515,0.9875776397515528,0.9875776397515528,0.9977413890457368,0.9875776397515528
60,1.5460604517186274,1.5566752694901966,0.9979423868312757,0.9979423868312757,0.9996258885147774,0.9979423868312757,0.9875776397515528,0.9875776397515528,0.9977413890457368,0.9875776397515528
61,1.5498057427953502,1.5497499704360962,0.9948559670781894,0.9948559670781894,0.9990647212869435,0.9948559670781894,1.0,1.0,1.0,1.0
62,1.5482944181708038,1.5610526970454626,0.9969135802469136,0.9969135802469136,0.999438832772166,0.9969135802469136,0.9813664596273292,0.9813664596273292,0.9966120835686053,0.9813664596273292
63,1.5530753790355118,1.5655221541722615,0.9917695473251029,0.9917695473251029,0.9985035540591096,0.9917695473251029,0.9751552795031055,0.9751552795031055,0.9954827780914738,0.9751552795031055
64,1.5571558690461955,1.5690623237973167,0.9897119341563786,0.9897119341563786,0.998129442573887,0.9897119341563786,0.9751552795031055,0.9751552795031055,0.9954827780914738,0.9751552795031055
65,1.5530556665092219,1.5699296508516585,0.992798353909465,0.992798353909465,0.9986906098017209,0.992798353909465,0.968944099378882,0.968944099378882,0.9943534726143421,0.968944099378882
66,1.554083945321255,1.559026525134132,0.9897119341563786,0.9897119341563786,0.998129442573887,0.9897119341563786,0.9813664596273292,0.9813664596273292,0.9966120835686053,0.9813664596273292
67,1.5486165744359377,1.5603346767879667,0.9969135802469136,0.9969135802469136,0.999438832772166,0.9969135802469136,0.9875776397515528,0.9875776397515528,0.9977413890457368,0.9875776397515528
68,1.5463600285717698,1.5551988624391102,0.9979423868312757,0.9979423868312757,0.9996258885147774,0.9979423868312757,0.9875776397515528,0.9875776397515528,0.9977413890457368,0.9875776397515528
69,1.5474244238900356,1.5551408131917317,0.9969135802469136,0.9969135802469136,0.999438832772166,0.9969135802469136,0.9875776397515528,0.9875776397515528,0.9977413890457368,0.9875776397515528
70,1.5452122639437191,1.55424580119905,0.9979423868312757,0.9979423868312757,0.9996258885147774,0.9979423868312757,0.9875776397515528,0.9875776397515528,0.9977413890457368,0.9875776397515528
