train_loss,train_Precision,train_Recall,train_F1Score,train_Accuracy,train_JaccardIndex,epoch,step,val_loss,val_Precision,val_Recall,val_F1Score,val_Accuracy,val_JaccardIndex
0.1789267659187317,0.9387544989585876,0.6934701800346375,0.7976821660995483,0.6934701800346375,0.8244656324386597,0,49,,,,,,
0.09829794615507126,0.9617581367492676,0.7578144073486328,0.8476922512054443,0.7578144073486328,0.8623529672622681,0,99,,,,,,
,,,,,,0,109,0.12388243526220322,0.908481776714325,0.7606136798858643,0.8252012133598328,0.7606136798858643,0.8471267223358154
0.06956490874290466,0.9202398657798767,0.8159629702568054,0.8649699687957764,0.8159629702568054,0.8763271570205688,1,149,,,,,,
0.052203137427568436,0.9080822467803955,0.8778243660926819,0.8926970362663269,0.8778243660926819,0.8992814421653748,1,199,,,,,,
,,,,,,1,219,0.06898440420627594,0.9446280598640442,0.7573950886726379,0.8385531902313232,0.7573950886726379,0.8581670522689819
0.04222438856959343,0.9262830018997192,0.8600986003875732,0.8919647336006165,0.8600986003875732,0.8986743688583374,2,249,,,,,,
0.03278099372982979,0.9775819182395935,0.8514683246612549,0.9101773500442505,0.8514683246612549,0.9143683314323425,2,299,,,,,,
,,,,,,2,329,0.05212392285466194,0.9206212759017944,0.8545978665351868,0.8852102160453796,0.8545978665351868,0.8946518301963806
0.03639485687017441,0.9503253102302551,0.7795340418815613,0.8564984798431396,0.7795340418815613,0.8695078492164612,3,349,,,,,,
0.02620779722929001,0.9600837230682373,0.8876963257789612,0.9224721789360046,0.8876963257789612,0.9246858358383179,3,399,,,,,,
,,,,,,3,439,0.04511226341128349,0.9239599108695984,0.8613743185997009,0.8904988169670105,0.8613743185997009,0.8990287780761719
0.024178773164749146,0.9543713927268982,0.9040835499763489,0.9285470843315125,0.9040835499763489,0.930191159248352,4,449,,,,,,
0.024524081498384476,0.9665518999099731,0.8825503587722778,0.9226431250572205,0.8825503587722778,0.924737811088562,4,499,,,,,,
0.02951330505311489,0.9796331524848938,0.8145983815193176,0.8895257711410522,0.8145983815193176,0.8950936794281006,4,549,,,,,,
,,,,,,4,549,0.04050249606370926,0.9590513110160828,0.7977831959724426,0.869795024394989,0.7977831959724426,0.8815469145774841
0.022155538201332092,0.974436342716217,0.8749643564224243,0.922025203704834,0.8749643564224243,0.9245876669883728,5,599,,,,,,
0.018782418221235275,0.9867297410964966,0.8365699648857117,0.905466616153717,0.8365699648857117,0.9101109504699707,5,649,,,,,,
,,,,,,5,659,0.03474454581737518,0.9450187683105469,0.8472806215286255,0.8928622603416443,0.8472806215286255,0.9004237651824951
0.01633886806666851,0.9604968428611755,0.9127938151359558,0.9360379576683044,0.9127938151359558,0.9375700950622559,6,699,,,,,,
0.01681232824921608,0.9352660179138184,0.9274241924285889,0.9313285946846008,0.9274241924285889,0.9332652688026428,6,749,,,,,,
,,,,,,6,769,0.05120333284139633,0.9158293008804321,0.8808932900428772,0.8969391584396362,0.8808932900428772,0.9042208194732666
0.015557320788502693,0.9690579771995544,0.869586169719696,0.9166313409805298,0.869586169719696,0.920142650604248,7,799,,,,,,
0.01568608358502388,0.9811276793479919,0.8704791069030762,0.9224973320960999,0.8704791069030762,0.9252743124961853,7,849,,,,,,
,,,,,,7,879,0.037540651857852936,0.915225088596344,0.8683380484580994,0.8899697661399841,0.8683380484580994,0.898995578289032
0.018674129620194435,0.9510703086853027,0.8618495464324951,0.9042644500732422,0.8618495464324951,0.9091254472732544,8,899,,,,,,
0.012428797781467438,0.9766466021537781,0.9216557145118713,0.9483546614646912,0.9216557145118713,0.9486240148544312,8,949,,,,,,
,,,,,,8,989,0.030773933976888657,0.9323793053627014,0.8731762766838074,0.9007166624069214,0.8731762766838074,0.9070648550987244
0.013909567147493362,0.9757795333862305,0.9054550528526306,0.9393028616905212,0.9054550528526306,0.9401512145996094,9,999,,,,,,
0.014678014442324638,0.9646891951560974,0.9249001741409302,0.94437575340271,0.9249001741409302,0.9447546005249023,9,1049,,,,,,
0.017079535871744156,0.9621938467025757,0.8948202729225159,0.9272848963737488,0.8948202729225159,0.9284367561340332,9,1099,,,,,,
,,,,,,9,1099,0.03420168161392212,0.9313442707061768,0.8735611438751221,0.8998761177062988,0.8735611438751221,0.9075160026550293
0.012268582358956337,0.9817946553230286,0.9021480679512024,0.9402877688407898,0.9021480679512024,0.9412667751312256,10,1149,,,,,,
0.011623872444033623,0.9755817651748657,0.9146407246589661,0.9441288113594055,0.9146407246589661,0.9448966979980469,10,1199,,,,,,
,,,,,,10,1209,0.028062600642442703,0.9379429221153259,0.8876171708106995,0.9112913012504578,0.8876171708106995,0.9162247776985168
0.010828664526343346,0.9576174020767212,0.9335318803787231,0.9454212784767151,0.9335318803787231,0.9462458491325378,11,1249,,,,,,
0.0096177002415061,0.9579004645347595,0.9538846611976624,0.9558883309364319,0.9538846611976624,0.9561566114425659,11,1299,,,,,,
,,,,,,11,1319,0.03226412087678909,0.94974285364151,0.8406975865364075,0.8902097940444946,0.8406975865364075,0.899268627166748
0.009338144212961197,0.9602022767066956,0.9466659426689148,0.9533860683441162,0.9466659426689148,0.9537577033042908,12,1349,,,,,,
0.008881228044629097,0.9659025073051453,0.9486347436904907,0.957190752029419,0.9486347436904907,0.9573203325271606,12,1399,,,,,,
,,,,,,12,1429,0.025924481451511383,0.9441623091697693,0.8764731884002686,0.908155620098114,0.8764731884002686,0.913655698299408
0.013645031489431858,0.9476985335350037,0.9150159358978271,0.9310704469680786,0.9150159358978271,0.9329090118408203,13,1449,,,,,,
